,index,M_Call_Name,M_Call_Arg,Receiver_var,File_Name_x,MethodName,M_Call_Arg_len,Swap_arg_listing,MethodClass,M_D_Name,M_D_Arg,File_Name_y,Class_name,M_D_Arg_len,File_Name_without_extension
232,232,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'ind', 'obj'",D:\Testing\kdart\pycopia\WWW\pycopia\WWW\XHTML.py,XHTMLDocument,3.0,XHTML
233,233,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'data', 'encoding'",D:\Testing\kdart\pycopia\WWW\pycopia\WWW\XHTML.py,DynamicNode,3.0,XHTML
234,234,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'data'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,Text,2.0,POM
235,235,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'data', 'encoding'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,Comment,3.0,POM
236,236,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'data', 'encoding'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,ASIS,3.0,POM
237,237,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'index', 'obj'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,ElementNode,3.0,POM
238,238,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'index', 'value'",D:\Testing\kennethreitz\tablib\tablib\core.py,Row,3.0,core
239,239,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'index', 'row', 'tags'",D:\Testing\kennethreitz\tablib\tablib\core.py,Dataset,4.0,core
240,240,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'kwargs'",D:\Testing\kimpettersen\random-sublime-text-plugin\random.py,RandomWindow,2.0,random
241,241,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'view', 'generator'",D:\Testing\kimpettersen\random-sublime-text-plugin\random.py,RandomText,3.0,random
242,242,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'i', 'value'",D:\Testing\kroger\pyknon\pyknon\music.py,NoteSeq,3.0,music
243,243,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'index', 'items'",D:\Testing\kuri65536\python-for-android\python-modules\twisted\twisted\spread\ui\tkutil.py,CList,3.0,tkutil
244,244,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'edit', 'location', 'text'",D:\Testing\lifted-studios\AutoCopyright\tests\MockView.py,MockView,4.0,MockView
245,245,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'documents'",D:\Testing\lonelycode\Mojo\Mojo\Backends\PyMongoBackend\pymongo_backend.py,Collection,2.0,pymongo_backend
246,246,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'documents'",D:\Testing\lonelycode\Mojo\Mojo\Backends\base_interface.py,CollectionModelInterface,2.0,base_interface
247,247,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'klass', 'to_insert'",D:\Testing\lonelycode\Mojo\Mojo\ObjectMapper\ModelPrototype.py,Model,2.0,ModelPrototype
248,248,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'window', 'first_line'",D:\Testing\Julian\PyVi\pyvi\window.py,Buffer,3.0,window
249,249,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,'self',D:\Testing\Julian\PyVi\pyvi\window.py,Window,1.0,window
250,250,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'a'",D:\Testing\justdark\dml\build\lib\dml\tool\heap.py,Heap,2.0,heap
251,251,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'el'",D:\Testing\kachayev\fn.py\fn\immutable\heap.py,SkewHeap,2.0,heap
252,252,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'el'",D:\Testing\kachayev\fn.py\fn\immutable\heap.py,PairingHeap,2.0,heap
253,253,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'word'",D:\Testing\kamyu104\LeetCode\Python\implement-trie-prefix-tree.py,Trie,2.0,implement-trie-prefix-tree
254,254,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'key', 'value'",D:\Testing\katharosada\botchallenge\client\google\protobuf\internal\containers.py,RepeatedScalarFieldContainer,3.0,containers
255,255,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'lineno', 'obj'",D:\Testing\kdart\pycopia\process\pycopia\crontab.py,CrontabFile,3.0,crontab
256,256,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'ind', 'obj'",D:\Testing\kdart\pycopia\WWW\pycopia\WWW\XHTML.py,XHTMLDocument,3.0,XHTML
257,257,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'data', 'encoding'",D:\Testing\kdart\pycopia\WWW\pycopia\WWW\XHTML.py,DynamicNode,3.0,XHTML
258,258,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'data'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,Text,2.0,POM
259,259,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'data', 'encoding'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,Comment,3.0,POM
260,260,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'data', 'encoding'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,ASIS,3.0,POM
261,261,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'index', 'obj'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,ElementNode,3.0,POM
262,262,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'index', 'value'",D:\Testing\kennethreitz\tablib\tablib\core.py,Row,3.0,core
263,263,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'index', 'row', 'tags'",D:\Testing\kennethreitz\tablib\tablib\core.py,Dataset,4.0,core
264,264,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'kwargs'",D:\Testing\kimpettersen\random-sublime-text-plugin\random.py,RandomWindow,2.0,random
265,265,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'view', 'generator'",D:\Testing\kimpettersen\random-sublime-text-plugin\random.py,RandomText,3.0,random
266,266,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'i', 'value'",D:\Testing\kroger\pyknon\pyknon\music.py,NoteSeq,3.0,music
267,267,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'index', 'items'",D:\Testing\kuri65536\python-for-android\python-modules\twisted\twisted\spread\ui\tkutil.py,CList,3.0,tkutil
268,268,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'edit', 'location', 'text'",D:\Testing\lifted-studios\AutoCopyright\tests\MockView.py,MockView,4.0,MockView
269,269,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'documents'",D:\Testing\lonelycode\Mojo\Mojo\Backends\PyMongoBackend\pymongo_backend.py,Collection,2.0,pymongo_backend
270,270,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'self', 'documents'",D:\Testing\lonelycode\Mojo\Mojo\Backends\base_interface.py,CollectionModelInterface,2.0,base_interface
271,271,"sys,path,insert","1 ; <class 'int'>, ",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2,1 ; <class 'int'>,sys,insert,"'klass', 'to_insert'",D:\Testing\lonelycode\Mojo\Mojo\ObjectMapper\ModelPrototype.py,Model,2.0,ModelPrototype
278,278,StringField,"E-Mail Address ;<class 'str'>, List_value ; List",email,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,StringField,2, List_value ; List E-Mail Address ;<class 'str'>,,,,,,,
280,280,StringField,"Should be identical ;<class 'str'>, List_value ; List",second_value,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,StringField,2, List_value ; List Should be identical ;<class 'str'>,,,,,,,
281,281,StringField,"IP4 Address ;<class 'str'>, List_value ; List",ip_address,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,StringField,2, List_value ; List IP4 Address ;<class 'str'>,,,,,,,
282,282,StringField,"Length of String (5 to 10) ;<class 'str'>, List_value ; List",string_length,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,StringField,2, List_value ; List Length of String (5 to 10) ;<class 'str'>,,,,,,,
283,283,IntegerField,"Number Range (5 to 10) ;<class 'str'>, List_value ; List",number_range,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,IntegerField,2, List_value ; List Number Range (5 to 10) ;<class 'str'>,,,,,,,
284,284,StringField,"Required Field ;<class 'str'>, List_value ; List",required_text,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,StringField,2, List_value ; List Required Field ;<class 'str'>,,,,,,,
285,285,SelectField,"Required Select ;<class 'str'>, List_value ; List",required_select,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,SelectField,2, List_value ; List Required Select ;<class 'str'>,,,,,,,
286,286,BooleanField,"Required Checkbox ;<class 'str'>, List_value ; List",required_checkbox,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,BooleanField,2, List_value ; List Required Checkbox ;<class 'str'>,,,,,,,
287,287,StringField,"Regex-Matched Hex Color-Code ;<class 'str'>, List_value ; List",regexp,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,StringField,2, List_value ; List Regex-Matched Hex Color-Code ;<class 'str'>,,,,,,,
288,288,StringField,"URL Field ;<class 'str'>, List_value ; List",url,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,StringField,2, List_value ; List URL Field ;<class 'str'>,,,,,,,
289,289,StringField,"Car, Bike or Plane? ;<class 'str'>, List_value ; List",anyof,D:\Testing\johannes-gehrs\wtforms-parsleyjs\wtformsparsleyjs\sample\sample.py,StringField,3, List_value ; List  Bike or Plane? ;<class 'str'> Car,,,,,,,
290,290,"admin,site,register","Category ; <class 'str'>, CategoryAdmin ; <class 'str'>",,D:\Testing\johnboxall\snapboard\snapboard\admin.py,register,2, CategoryAdmin ; <class 'str'> Category ; <class 'str'>,admin,register,"'self', 'name', 'required_params'",D:\Testing\JohnMaguire\Cardinal\cardinal\plugins.py,EventManager,3.0,plugins
291,291,"admin,site,register","Category ; <class 'str'>, CategoryAdmin ; <class 'str'>",,D:\Testing\johnboxall\snapboard\snapboard\admin.py,register,2, CategoryAdmin ; <class 'str'> Category ; <class 'str'>,admin,register,"'self', 'thing', 'subclass'",D:\Testing\jqb\django-settings\django_settings\moduleregistry.py,ModuleRegistry,3.0,moduleregistry
