,M_Call_Name,M_Call_Arg,Receiver_var,File_Name,MethodName,M_Call_Arg_len,MethodClass,Swap_arg_listing
90,add_introspection_rules,"List_value ; List, List_value ; List",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,, List_value ; List List_value ; List
91,add_introspection_rules,"List_value ; List, ",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,,List_value ; List
92,add_introspection_rules,"List_value ; List, List_value ; List",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,, List_value ; List List_value ; List
93,add_introspection_rules,"List_value ; List, ",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,,List_value ; List
94,add_introspection_rules,"List_value ; List, List_value ; List",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,, List_value ; List List_value ; List
95,add_introspection_rules,"List_value ; List, ",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,,List_value ; List
96,add_introspection_rules,"List_value ; List, List_value ; List",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,, List_value ; List List_value ; List
97,add_introspection_rules,"List_value ; List, ",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,,List_value ; List
98,add_introspection_rules,"List_value ; List, List_value ; List",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,, List_value ; List List_value ; List
99,add_introspection_rules,"List_value ; List, ",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\node.py,add_introspection_rules,2,,List_value ; List
100,add_introspection_rules,"List_value ; List, List_value ; List",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\node.py,add_introspection_rules,2,, List_value ; List List_value ; List
101,namedtuple,"ScheduleEntry ; <class 'str'>, key timestamp ; <class 'str'>",ScheduleEntry,D:\Testing\getsentry\sentry\src\sentry\digests\__init__.py,namedtuple,2,, key timestamp ; <class 'str'> ScheduleEntry ; <class 'str'>
104,namedtuple,"UrlResult ; <class 'str'>, List_value ; List",UrlResult,D:\Testing\getsentry\sentry\src\sentry\lang\javascript\processor.py,namedtuple,2,, List_value ; List UrlResult ; <class 'str'>
105,namedtuple,"SourceMap ; <class 'str'>, List_value ; List",SourceMap,D:\Testing\getsentry\sentry\src\sentry\lang\javascript\sourcemaps.py,namedtuple,2,, List_value ; List SourceMap ; <class 'str'>
106,namedtuple,"SourceMapIndex ; <class 'str'>, List_value ; List",SourceMapIndex,D:\Testing\getsentry\sentry\src\sentry\lang\javascript\sourcemaps.py,namedtuple,2,, List_value ; List SourceMapIndex ; <class 'str'>
116,sane_repr,"organization_id ;<class 'str'>, provider ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\authprovider.py,sane_repr,2,, provider ;<class 'str'> organization_id ;<class 'str'>
121,sane_repr,"project_id ;<class 'str'>, ident ;<class 'str'>, email ;<class 'str'>, username ;<class 'str'>, ip_address ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\eventuser.py,sane_repr,5,, ip_address ;<class 'str'>  username ;<class 'str'>  email ;<class 'str'>  ident ;<class 'str'> project_id ;<class 'str'>
125,sane_repr,"email ;<class 'str'>, group_id ;<class 'str'>, msgid ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\groupemailthread.py,sane_repr,3,, msgid ;<class 'str'>  group_id ;<class 'str'> email ;<class 'str'>
131,sane_repr,"group_id ;<class 'str'>, release_id ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\groupresolution.py,sane_repr,2,, release_id ;<class 'str'> group_id ;<class 'str'>
135,sane_repr,"project_id ;<class 'str'>, group_id ;<class 'str'>, user_id ;<class 'str'>, last_seen ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\groupseen.py,sane_repr,4,, last_seen ;<class 'str'>  user_id ;<class 'str'>  group_id ;<class 'str'> project_id ;<class 'str'>
142,sane_repr,"project_id ;<class 'str'>, group_id ;<class 'str'>, key ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\grouptagkey.py,sane_repr,3,, key ;<class 'str'>  group_id ;<class 'str'> project_id ;<class 'str'>
147,sane_repr,"project_id ;<class 'str'>, group_id ;<class 'str'>, key ;<class 'str'>, value ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\grouptagvalue.py,sane_repr,4,, value ;<class 'str'>  key ;<class 'str'>  group_id ;<class 'str'> project_id ;<class 'str'>
151,sane_repr,"organization_id ;<class 'str'>, key ;<class 'str'>, value ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\organizationoption.py,sane_repr,3,, value ;<class 'str'>  key ;<class 'str'> organization_id ;<class 'str'>
155,sane_repr,"project_id ;<class 'str'>, key ;<class 'str'>, value ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\projectoption.py,sane_repr,3,, value ;<class 'str'>  key ;<class 'str'> project_id ;<class 'str'>
159,sane_repr,"release ;<class 'str'>, ident ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\releasefile.py,sane_repr,2,, ident ;<class 'str'> release ;<class 'str'>
165,sane_repr,"project_id ;<class 'str'>, key ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\tagkey.py,sane_repr,2,, key ;<class 'str'> project_id ;<class 'str'>
169,sane_repr,"slug ;<class 'str'>, name ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\team.py,sane_repr,2,, name ;<class 'str'> slug ;<class 'str'>
172,sane_repr,"event_id ;<class 'str'>, name ;<class 'str'>, email ;<class 'str'>",__repr__,D:\Testing\getsentry\sentry\src\sentry\models\userreport.py,sane_repr,3,, email ;<class 'str'>  name ;<class 'str'> event_id ;<class 'str'>
195,namedtuple,"Key ; <class 'str'>, List_value ; List",Key,D:\Testing\getsentry\sentry\src\sentry\options\store.py,namedtuple,2,, List_value ; List Key ; <class 'str'>
200,namedtuple,"RateLimit ; <class 'str'>, List_value ; List",RateLimit,D:\Testing\getsentry\sentry\src\sentry\quotas\base.py,namedtuple,2,, List_value ; List RateLimit ; <class 'str'>
201,RateLimit,"False ; <class 'bool'>, None ; <class 'NoneType'>",NotRateLimited,D:\Testing\getsentry\sentry\src\sentry\quotas\base.py,RateLimit,2,, None ; <class 'NoneType'> False ; <class 'bool'>
206,RoleManager,"<ast.Name object at 0x000001C897A0FD30> ; <class 'ast.Name'>, <ast.Name object at 0x000001C897A0F8B0> ; <class 'ast.Name'>",default_manager,D:\Testing\getsentry\sentry\src\sentry\roles\__init__.py,RoleManager,2,, <ast.Name object at 0x000001C897A0F8B0> ; <class 'ast.Name'> <ast.Name object at 0x000001C897A0FD30> ; <class 'ast.Name'>
207,namedtuple,"CallbackFuture ; <class 'str'>, List_value ; List",CallbackFuture,D:\Testing\getsentry\sentry\src\sentry\rules\base.py,namedtuple,2,, List_value ; List CallbackFuture ; <class 'str'>
208,namedtuple,"RuleFuture ; <class 'str'>, List_value ; List",RuleFuture,D:\Testing\getsentry\sentry\src\sentry\rules\processor.py,namedtuple,2,, List_value ; List RuleFuture ; <class 'str'>
212,namedtuple,"SketchParameters ; <class 'str'>, depth width capacity ; <class 'str'>",SketchParameters,D:\Testing\getsentry\sentry\src\sentry\tsdb\redis.py,namedtuple,2,, depth width capacity ; <class 'str'> SketchParameters ; <class 'str'>
213,Script,"None ; <class 'NoneType'>, ",CountMinScript,D:\Testing\getsentry\sentry\src\sentry\tsdb\redis.py,Script,2,,None ; <class 'NoneType'>
214,SketchParameters,"3 ;<class 'int'>, 128 ;<class 'int'>, 50 ;<class 'int'>",DEFAULT_SKETCH_PARAMETERS,D:\Testing\getsentry\sentry\src\sentry\tsdb\redis.py,SketchParameters,3,, 50 ;<class 'int'>  128 ;<class 'int'> 3 ;<class 'int'>
216,namedtuple,"ParsedUriMatch ; <class 'str'>, List_value ; List",ParsedUriMatch,D:\Testing\getsentry\sentry\src\sentry\utils\http.py,namedtuple,2,, List_value ; List ParsedUriMatch ; <class 'str'>
217,"warnings,warn","'sentry.utils.runner' has moved to 'sentry.runner' ; <class 'str'>, DeprecationWarning ; <class 'str'>",,D:\Testing\getsentry\sentry\src\sentry\utils\runner.py,warn,2,warnings, DeprecationWarning ; <class 'str'> 'sentry.utils.runner' has moved to 'sentry.runner' ; <class 'str'>
237,Template,"
        {% load sentry_plugins %}
        {% for k, v in group|get_actions:request %}
            <span>{{ k }} - {{ v }}</span>
        {% endfor %}
     ;<class 'str'>",TEMPLATE,D:\Testing\getsentry\sentry\tests\sentry\templatetags\test_sentry_plugins.py,Template,2,," v in group|get_actions:request %}
            <span>{{ k }} - {{ v }}</span>
        {% endfor %}
     ;<class 'str'> 
        {% load sentry_plugins %}
        {% for k"
239,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\getsentry\sentry\conftest.py,insert,2,sys,0 ; <class 'int'>
240,getattr,"settings ; <class 'str'>, GITHUB_APP_ID ; <class 'str'>, None ; <class 'NoneType'>",CLIENT_ID,D:\Testing\getsentry\sentry-auth-github\sentry_auth_github\constants.py,getattr,3,, None ; <class 'NoneType'>  GITHUB_APP_ID ; <class 'str'> settings ; <class 'str'>
241,getattr,"settings ; <class 'str'>, GITHUB_API_SECRET ; <class 'str'>, None ; <class 'NoneType'>",CLIENT_SECRET,D:\Testing\getsentry\sentry-auth-github\sentry_auth_github\constants.py,getattr,3,, None ; <class 'NoneType'>  GITHUB_API_SECRET ; <class 'str'> settings ; <class 'str'>
242,getattr,"settings ; <class 'str'>, GITHUB_REQUIRE_VERIFIED_EMAIL ; <class 'str'>, False ; <class 'bool'>",REQUIRE_VERIFIED_EMAIL,D:\Testing\getsentry\sentry-auth-github\sentry_auth_github\constants.py,getattr,3,, False ; <class 'bool'>  GITHUB_REQUIRE_VERIFIED_EMAIL ; <class 'str'> settings ; <class 'str'>
243,getattr,"settings ; <class 'str'>, GITHUB_DOMAIN ; <class 'str'>, api.github.com ; <class 'str'>",DOMAIN,D:\Testing\getsentry\sentry-auth-github\sentry_auth_github\constants.py,getattr,3,, api.github.com ; <class 'str'>  GITHUB_DOMAIN ; <class 'str'> settings ; <class 'str'>
244,getattr,"settings ; <class 'str'>, GITHUB_BASE_DOMAIN ; <class 'str'>, github.com ; <class 'str'>",BASE_DOMAIN,D:\Testing\getsentry\sentry-auth-github\sentry_auth_github\constants.py,getattr,3,, github.com ; <class 'str'>  GITHUB_BASE_DOMAIN ; <class 'str'> settings ; <class 'str'>
245,getattr,"settings ; <class 'str'>, GITHUB_API_DOMAIN ; <class 'str'>, DOMAIN ; <class 'str'>",API_DOMAIN,D:\Testing\getsentry\sentry-auth-github\sentry_auth_github\constants.py,getattr,3,, DOMAIN ; <class 'str'>  GITHUB_API_DOMAIN ; <class 'str'> settings ; <class 'str'>
246,"sys,path,insert","0 ; <class 'int'>, test_dir ; <class 'str'>",,D:\Testing\GetStream\stream-django\runtests.py,insert,2,sys, test_dir ; <class 'str'> 0 ; <class 'int'>
247,Blueprint,"setup ; <class 'str'>, __name__ ; <class 'str'>",setup,D:\Testing\getweber\weber\flask_app\setup.py,Blueprint,2,, __name__ ; <class 'str'> setup ; <class 'str'>
248,Blueprint,"views ; <class 'str'>, __name__ ; <class 'str'>",views,D:\Testing\getweber\weber-micro\flask_app\views.py,Blueprint,2,, __name__ ; <class 'str'> views ; <class 'str'>
258,copy_globals,"_core ; <class 'str'>, ",,D:\Testing\gevent\gevent\src\gevent\core.py,copy_globals,2,,_core ; <class 'str'>
259,copy_globals,"_core ; <class 'str'>, ",,D:\Testing\gevent\gevent\src\gevent\core.py,copy_globals,2,,_core ; <class 'str'>
260,hasattr,"sys ; <class 'str'>, pypy_version_info ; <class 'str'>",PYPY,D:\Testing\gevent\gevent\src\gevent\fileobject.py,hasattr,2,, pypy_version_info ; <class 'str'> sys ; <class 'str'>
262,copy_globals,"__select__ ; <class 'str'>, ",__imports__,D:\Testing\gevent\gevent\src\gevent\select.py,copy_globals,2,,__select__ ; <class 'str'>
263,copy_globals,"_signal ; <class 'str'>, ",__imports__,D:\Testing\gevent\gevent\src\gevent\signal.py,copy_globals,2,,_signal ; <class 'str'>
264,copy_globals,"_source ; <class 'str'>, ",,D:\Testing\gevent\gevent\src\gevent\ssl.py,copy_globals,2,,_source ; <class 'str'>
265,copy_globals,"_source ; <class 'str'>, ",,D:\Testing\gevent\gevent\src\gevent\ssl.py,copy_globals,2,,_source ; <class 'str'>
266,copy_globals,"__thread__ ; <class 'str'>, ",__imports__,D:\Testing\gevent\gevent\src\gevent\thread.py,copy_globals,2,,__thread__ ; <class 'str'>
268,hasattr,"sys ; <class 'str'>, pypy_version_info ; <class 'str'>",PYPY,D:\Testing\gevent\gevent\src\gevent\_compat.py,hasattr,2,, pypy_version_info ; <class 'str'> sys ; <class 'str'>
269,copy_globals,"_socketcommon ; <class 'str'>, ",,D:\Testing\gevent\gevent\src\gevent\_socket2.py,copy_globals,2,,_socketcommon ; <class 'str'>
270,copy_globals,"_socketcommon ; <class 'str'>, ",,D:\Testing\gevent\gevent\src\gevent\_socket2.py,copy_globals,2,,_socketcommon ; <class 'str'>
272,property,"_get_ref ; <class 'str'>, _set_ref ; <class 'str'>",ref,D:\Testing\gevent\gevent\src\gevent\_socket2.py,property,2,,"_get_ref ; <class 'str'>, _set_ref ; <class 'str'>"
276,copy_globals,"__ssl__ ; <class 'str'>, ",__imports__,D:\Testing\gevent\gevent\src\gevent\_ssl2.py,copy_globals,2,,__ssl__ ; <class 'str'>
281,copy_globals,"__ssl__ ; <class 'str'>, ",__imports__,D:\Testing\gevent\gevent\src\gevent\_sslgte279.py,copy_globals,2,,__ssl__ ; <class 'str'>
285,getattr,"selectors ; <class 'str'>, PollSelector ;<class 'str'>, None ;<class 'NoneType'>",SELECTOR,D:\Testing\gevent\gevent\src\greentest\3.4\test_selectors.py,getattr,3,, None ;<class 'NoneType'>  PollSelector ;<class 'str'> selectors ; <class 'str'>
286,getattr,"selectors ; <class 'str'>, EpollSelector ;<class 'str'>, None ;<class 'NoneType'>",SELECTOR,D:\Testing\gevent\gevent\src\greentest\3.4\test_selectors.py,getattr,3,, None ;<class 'NoneType'>  EpollSelector ;<class 'str'> selectors ; <class 'str'>
287,getattr,"selectors ; <class 'str'>, KqueueSelector ;<class 'str'>, None ;<class 'NoneType'>",SELECTOR,D:\Testing\gevent\gevent\src\greentest\3.4\test_selectors.py,getattr,3,, None ;<class 'NoneType'>  KqueueSelector ;<class 'str'> selectors ; <class 'str'>
288,hasattr,"sys ; <class 'str'>, pypy_version_info ; <class 'str'>",PYPY,D:\Testing\gevent\gevent\src\greentest\greentest.py,hasattr,2,, pypy_version_info ; <class 'str'> sys ; <class 'str'>
290,"gevent,signal","1 ; <class 'int'>, ",,D:\Testing\gevent\gevent\src\greentest\test_hub_join_timeout.py,signal,2,gevent,1 ; <class 'int'>
300,signal,"2 ; <class 'int'>, <ast.Attribute object at 0x000001C89775D580> ; <class 'ast.Attribute'>, INTERRUPT! ; <class 'str'>",signal,D:\Testing\gevent\gevent\src\greentest\test__core_loop_run.py,signal,3,, INTERRUPT! ; <class 'str'>  <ast.Attribute object at 0x000001C89775D580> ; <class 'ast.Attribute'> 2 ; <class 'int'>
309,signal,"2 ; <class 'int'>, <ast.Attribute object at 0x000001C897808C10> ; <class 'ast.Attribute'>, INTERRUPT ; <class 'str'>",s,D:\Testing\gevent\gevent\src\greentest\test__core_loop_run_sig_mod.py,signal,3,, INTERRUPT ; <class 'str'>  <ast.Attribute object at 0x000001C897808C10> ; <class 'ast.Attribute'> 2 ; <class 'int'>
312,hasattr,"sys ; <class 'str'>, pypy_version_info ; <class 'str'>",PYPY,D:\Testing\gevent\gevent\src\greentest\test__fileobject.py,hasattr,2,, pypy_version_info ; <class 'str'> sys ; <class 'str'>
313,check,"g ; <class 'str'>, ",,D:\Testing\gevent\gevent\src\greentest\test__issue330.py,check,2,,g ; <class 'str'>
314,check,"g ; <class 'str'>, g2 ; <class 'str'>",,D:\Testing\gevent\gevent\src\greentest\test__issue330.py,check,2,, g2 ; <class 'str'> g ; <class 'str'>
315,check,"g ; <class 'str'>, ",,D:\Testing\gevent\gevent\src\greentest\test__issue330.py,check,2,,g ; <class 'str'>
316,check,"g ; <class 'str'>, g2 ; <class 'str'>",,D:\Testing\gevent\gevent\src\greentest\test__issue330.py,check,2,, g2 ; <class 'str'> g ; <class 'str'>
317,check,"g ; <class 'str'>, ",,D:\Testing\gevent\gevent\src\greentest\test__issue330.py,check,2,,g ; <class 'str'>
318,check,"g ; <class 'str'>, g2 ; <class 'str'>",,D:\Testing\gevent\gevent\src\greentest\test__issue330.py,check,2,, g2 ; <class 'str'> g ; <class 'str'>
327,"gevent,kill","g ; <class 'str'>, ",,D:\Testing\gevent\gevent\src\greentest\test__issue330.py,kill,2,gevent,g ; <class 'str'>
332,"loop,run_callback","<ast.Name object at 0x000001C89785BFD0> ; <class 'ast.Name'>, 1 ; <class 'int'>",,D:\Testing\gevent\gevent\src\greentest\test__nondefaultloop.py,run_callback,2,loop, 1 ; <class 'int'> <ast.Name object at 0x000001C89785BFD0> ; <class 'ast.Name'>
335,hasattr,"sys ; <class 'str'>, pypy_version_info ; <class 'str'>",PYPY,D:\Testing\gevent\gevent\src\greentest\test__subprocess.py,hasattr,2,, pypy_version_info ; <class 'str'> sys ; <class 'str'>
336,hasattr,"<ast.Name object at 0x000001C8977E9A30> ; <class 'ast.Name'>, newlines ; <class 'str'>",python_universal_newlines,D:\Testing\gevent\gevent\src\greentest\test__subprocess.py,hasattr,2,, newlines ; <class 'str'> <ast.Name object at 0x000001C8977E9A30> ; <class 'ast.Name'>
339,hasattr,"sys ; <class 'str'>, pypy_version_info ; <class 'str'>",PYPY,D:\Testing\gevent\gevent\src\greentest\test__threadpool.py,hasattr,2,, pypy_version_info ; <class 'str'> sys ; <class 'str'>
346,"game,new_connection","Glass Door ; <class 'str'>, sidewalk ; <class 'str'>, vestibule ; <class 'str'>, List_value ; List, List_value ; List",,D:\Testing\gever\bwx-adventure\tutorial1.py,new_connection,5,game, List_value ; List  List_value ; List  vestibule ; <class 'str'>  sidewalk ; <class 'str'> Glass Door ; <class 'str'>
349,Script,"test ; <class 'str'>, 
> go in
> take key
> go in
> s
> take hairpin
> pick lock
> go s
> n
> out
> flip coin
> take coin
> flip coin
> drop key
> drop coin
> end
 ; <class 'str'>",test_script,D:\Testing\gever\bwx-adventure\tutorial2.py,Script,2,," 
> go in
> take key
> go in
> s
> take hairpin
> pick lock
> go s
> n
> out
> flip coin
> take coin
> flip coin
> drop key
> drop coin
> end
 ; <class 'str'> test ; <class 'str'>"
350,"game,new_connection","Glass Door ; <class 'str'>, sidewalk ; <class 'str'>, vestibule ; <class 'str'>, List_value ; List, List_value ; List",,D:\Testing\gever\bwx-adventure\tutorial2.py,new_connection,5,game, List_value ; List  List_value ; List  vestibule ; <class 'str'>  sidewalk ; <class 'str'> Glass Door ; <class 'str'>
353,"office_door,add_phrase","pick lock ; <class 'str'>, pick_lock ; <class 'str'>, List_value ; List",,D:\Testing\gever\bwx-adventure\tutorial2.py,add_phrase,3,office_door, List_value ; List  pick_lock ; <class 'str'> pick lock ; <class 'str'>
354,"key,add_phrase","rub key ; <class 'str'>, ",,D:\Testing\gever\bwx-adventure\tutorial2.py,add_phrase,2,key,rub key ; <class 'str'>
355,"player,add_phrase","flip coin ; <class 'str'>, flip_coin ; <class 'str'>, List_value ; List",,D:\Testing\gever\bwx-adventure\tutorial2.py,add_phrase,3,player, List_value ; List  flip_coin ; <class 'str'> flip coin ; <class 'str'>
362,Script,"test ; <class 'str'>, 
> hi Robby
> go in
> s
> n
> tell cat follow
> hi cat
> pet cat
> tell cat bark
> look
> swat bat
> end
 ; <class 'str'>",test_script,D:\Testing\gever\bwx-adventure\tutorial3.py,Script,2,," 
> hi Robby
> go in
> s
> n
> tell cat follow
> hi cat
> pet cat
> tell cat bark
> look
> swat bat
> end
 ; <class 'str'> test ; <class 'str'>"
363,"game,new_connection","Glass Door ; <class 'str'>, sidewalk ; <class 'str'>, vestibule ; <class 'str'>, List_value ; List, List_value ; List",,D:\Testing\gever\bwx-adventure\tutorial3.py,new_connection,5,game, List_value ; List  List_value ; List  vestibule ; <class 'str'>  sidewalk ; <class 'str'> Glass Door ; <class 'str'>
364,"game,new_connection","Office Door ; <class 'str'>, vestibule ; <class 'str'>, office ; <class 'str'>, List_value ; List, List_value ; List",,D:\Testing\gever\bwx-adventure\tutorial3.py,new_connection,5,game, List_value ; List  List_value ; List  office ; <class 'str'>  vestibule ; <class 'str'> Office Door ; <class 'str'>
369,"robby,add_phrase","hi Robby ; <class 'str'>, ",,D:\Testing\gever\bwx-adventure\tutorial3.py,add_phrase,2,robby,hi Robby ; <class 'str'>
374,"cat,add_phrase","hi cat ; <class 'str'>, ",,D:\Testing\gever\bwx-adventure\tutorial3.py,add_phrase,2,cat,hi cat ; <class 'str'>
383,Object,"keys ; <class 'str'>, a rusty old ring of skeleton keys ; <class 'str'>",keys,D:\Testing\gever\bwx-adventure\tutorial6.py,Object,2,, a rusty old ring of skeleton keys ; <class 'str'> keys ; <class 'str'>
384,Food,"banana ; <class 'str'>, a nice ripe banana ; <class 'str'>, , ",banana,D:\Testing\gever\bwx-adventure\tutorial6.py,Food,4,, a nice ripe banana ; <class 'str'> banana ; <class 'str'>
385,Script,"test ; <class 'str'>, 
> give monkey banana
> take keys
> i
> give monkey keys
> i
> look
> eat banana
> look
> give monkey banana
> end
 ; <class 'str'>",test_script,D:\Testing\gever\bwx-adventure\tutorial6.py,Script,2,," 
> give monkey banana
> take keys
> i
> give monkey keys
> i
> look
> eat banana
> look
> give monkey banana
> end
 ; <class 'str'> test ; <class 'str'>"
386,"game,new_connection","Glass Door ; <class 'str'>, sidewalk ; <class 'str'>, vestibule ; <class 'str'>, List_value ; List, List_value ; List",,D:\Testing\gever\bwx-adventure\tutorial6.py,new_connection,5,game, List_value ; List  List_value ; List  vestibule ; <class 'str'>  sidewalk ; <class 'str'> Glass Door ; <class 'str'>
387,"game,new_connection","Office Door ; <class 'str'>, vestibule ; <class 'str'>, office ; <class 'str'>, List_value ; List, List_value ; List",,D:\Testing\gever\bwx-adventure\tutorial6.py,new_connection,5,game, List_value ; List  List_value ; List  office ; <class 'str'>  vestibule ; <class 'str'> Office Door ; <class 'str'>
392,"monkey,add_trade","banana ; <class 'str'>, keys ; <class 'str'>, ",,D:\Testing\gever\bwx-adventure\tutorial6.py,add_trade,3,monkey, keys ; <class 'str'> banana ; <class 'str'>
393,"monkey,add_trade","keys ; <class 'str'>, banana ; <class 'str'>, ",,D:\Testing\gever\bwx-adventure\tutorial6.py,add_trade,3,monkey, banana ; <class 'str'> keys ; <class 'str'>
402,Script,"test ; <class 'str'>, 
> look
> take vial
> give cat vial
> tell cat drink vial
> look
> end
 ; <class 'str'>",test_script,D:\Testing\gever\bwx-adventure\tutorial7.py,Script,2,," 
> look
> take vial
> give cat vial
> tell cat drink vial
> look
> end
 ; <class 'str'> test ; <class 'str'>"
