,M_Call_Name,M_Call_Arg,Receiver_var,File_Name,MethodName,M_Call_Arg_len,Swap_arg_listing,MethodClass
24,getattr,"settings ; <class 'str'>, PYBB_DEFAULT_TIME_ZONE ; <class 'str'>, 3 ; <class 'int'>",PYBB_DEFAULT_TIME_ZONE,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, 3 ; <class 'int'>  PYBB_DEFAULT_TIME_ZONE ; <class 'str'> settings ; <class 'str'>,
25,getattr,"settings ; <class 'str'>, PYBB_SIGNATURE_MAX_LENGTH ; <class 'str'>, 1024 ; <class 'int'>",PYBB_SIGNATURE_MAX_LENGTH,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, 1024 ; <class 'int'>  PYBB_SIGNATURE_MAX_LENGTH ; <class 'str'> settings ; <class 'str'>,
26,getattr,"settings ; <class 'str'>, PYBB_SIGNATURE_MAX_LINES ; <class 'str'>, 3 ; <class 'int'>",PYBB_SIGNATURE_MAX_LINES,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, 3 ; <class 'int'>  PYBB_SIGNATURE_MAX_LINES ; <class 'str'> settings ; <class 'str'>,
27,getattr,"settings ; <class 'str'>, PYBB_DEFAULT_MARKUP ; <class 'str'>, bbcode ; <class 'str'>",PYBB_DEFAULT_MARKUP,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, bbcode ; <class 'str'>  PYBB_DEFAULT_MARKUP ; <class 'str'> settings ; <class 'str'>,
28,getattr,"settings ; <class 'str'>, PYBB_FREEZE_FIRST_POST ; <class 'str'>, False ; <class 'bool'>",PYBB_FREEZE_FIRST_POST,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, False ; <class 'bool'>  PYBB_FREEZE_FIRST_POST ; <class 'str'> settings ; <class 'str'>,
29,getattr,"settings ; <class 'str'>, PYBB_ATTACHMENT_SIZE_LIMIT ; <class 'str'>, ",PYBB_ATTACHMENT_SIZE_LIMIT,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, PYBB_ATTACHMENT_SIZE_LIMIT ; <class 'str'> settings ; <class 'str'>,
30,getattr,"settings ; <class 'str'>, PYBB_ATTACHMENT_ENABLE ; <class 'str'>, False ; <class 'bool'>",PYBB_ATTACHMENT_ENABLE,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, False ; <class 'bool'>  PYBB_ATTACHMENT_ENABLE ; <class 'str'> settings ; <class 'str'>,
31,getattr,"settings ; <class 'str'>, PYBB_ATTACHMENT_UPLOAD_TO ; <class 'str'>, ",PYBB_ATTACHMENT_UPLOAD_TO,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, PYBB_ATTACHMENT_UPLOAD_TO ; <class 'str'> settings ; <class 'str'>,
32,getattr,"settings ; <class 'str'>, PYBB_DEFAULT_AVATAR_URL ; <class 'str'>, ",PYBB_DEFAULT_AVATAR_URL,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, PYBB_DEFAULT_AVATAR_URL ; <class 'str'> settings ; <class 'str'>,
33,getattr,"settings ; <class 'str'>, PYBB_DEFAULT_TITLE ; <class 'str'>, PYBB Powered Forum ; <class 'str'>",PYBB_DEFAULT_TITLE,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, PYBB Powered Forum ; <class 'str'>  PYBB_DEFAULT_TITLE ; <class 'str'> settings ; <class 'str'>,
34,getattr,"settings ; <class 'str'>, PYBB_SMILES_PREFIX ; <class 'str'>, pybb/emoticons/ ; <class 'str'>",PYBB_SMILES_PREFIX,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, pybb/emoticons/ ; <class 'str'>  PYBB_SMILES_PREFIX ; <class 'str'> settings ; <class 'str'>,
35,getattr,"settings ; <class 'str'>, PYBB_SMILES ; <class 'str'>, ",PYBB_SMILES,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, PYBB_SMILES ; <class 'str'> settings ; <class 'str'>,
36,getattr,"settings ; <class 'str'>, PYBB_NICE_URL ; <class 'str'>, False ; <class 'bool'>",PYBB_NICE_URL,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, False ; <class 'bool'>  PYBB_NICE_URL ; <class 'str'> settings ; <class 'str'>,
37,getattr,"settings ; <class 'str'>, PYBB_NICE_URL_PERMANENT_REDIRECT ; <class 'str'>, True ; <class 'bool'>",PYBB_NICE_URL_PERMANENT_REDIRECT,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, True ; <class 'bool'>  PYBB_NICE_URL_PERMANENT_REDIRECT ; <class 'str'> settings ; <class 'str'>,
38,getattr,"settings ; <class 'str'>, PYBB_NICE_URL_SLUG_DUPLICATE_LIMIT ; <class 'str'>, 100 ; <class 'int'>",PYBB_NICE_URL_SLUG_DUPLICATE_LIMIT,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, 100 ; <class 'int'>  PYBB_NICE_URL_SLUG_DUPLICATE_LIMIT ; <class 'str'> settings ; <class 'str'>,
39,getattr,"settings ; <class 'str'>, PYBB_MARKUP ; <class 'str'>, None ; <class 'NoneType'>",PYBB_MARKUP,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, None ; <class 'NoneType'>  PYBB_MARKUP ; <class 'str'> settings ; <class 'str'>,
40,getattr,"settings ; <class 'str'>, PYBB_TEMPLATE ; <class 'str'>, base.html ; <class 'str'>",PYBB_TEMPLATE,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, base.html ; <class 'str'>  PYBB_TEMPLATE ; <class 'str'> settings ; <class 'str'>,
41,getattr,"settings ; <class 'str'>, PYBB_DEFAULT_AUTOSUBSCRIBE ; <class 'str'>, True ; <class 'bool'>",PYBB_DEFAULT_AUTOSUBSCRIBE,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, True ; <class 'bool'>  PYBB_DEFAULT_AUTOSUBSCRIBE ; <class 'str'> settings ; <class 'str'>,
42,getattr,"settings ; <class 'str'>, PYBB_ENABLE_ANONYMOUS_POST ; <class 'str'>, False ; <class 'bool'>",PYBB_ENABLE_ANONYMOUS_POST,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, False ; <class 'bool'>  PYBB_ENABLE_ANONYMOUS_POST ; <class 'str'> settings ; <class 'str'>,
43,getattr,"settings ; <class 'str'>, PYBB_ANONYMOUS_USERNAME ; <class 'str'>, Anonymous ; <class 'str'>",PYBB_ANONYMOUS_USERNAME,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, Anonymous ; <class 'str'>  PYBB_ANONYMOUS_USERNAME ; <class 'str'> settings ; <class 'str'>,
44,getattr,"settings ; <class 'str'>, PYBB_ANONYMOUS_VIEWS_CACHE_BUFFER ; <class 'str'>, 100 ; <class 'int'>",PYBB_ANONYMOUS_VIEWS_CACHE_BUFFER,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, 100 ; <class 'int'>  PYBB_ANONYMOUS_VIEWS_CACHE_BUFFER ; <class 'str'> settings ; <class 'str'>,
45,getattr,"settings ; <class 'str'>, PYBB_DISABLE_SUBSCRIPTIONS ; <class 'str'>, False ; <class 'bool'>",PYBB_DISABLE_SUBSCRIPTIONS,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, False ; <class 'bool'>  PYBB_DISABLE_SUBSCRIPTIONS ; <class 'str'> settings ; <class 'str'>,
46,getattr,"settings ; <class 'str'>, PYBB_DISABLE_NOTIFICATIONS ; <class 'str'>, False ; <class 'bool'>",PYBB_DISABLE_NOTIFICATIONS,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, False ; <class 'bool'>  PYBB_DISABLE_NOTIFICATIONS ; <class 'str'> settings ; <class 'str'>,
47,getattr,"settings ; <class 'str'>, PYBB_PREMODERATION ; <class 'str'>, False ; <class 'bool'>",PYBB_PREMODERATION,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, False ; <class 'bool'>  PYBB_PREMODERATION ; <class 'str'> settings ; <class 'str'>,
48,getattr,"settings ; <class 'str'>, PYBB_BODY_VALIDATOR ; <class 'str'>, None ; <class 'NoneType'>",PYBB_BODY_VALIDATOR,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, None ; <class 'NoneType'>  PYBB_BODY_VALIDATOR ; <class 'str'> settings ; <class 'str'>,
49,getattr,"settings ; <class 'str'>, PYBB_POLL_MAX_ANSWERS ; <class 'str'>, 10 ; <class 'int'>",PYBB_POLL_MAX_ANSWERS,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, 10 ; <class 'int'>  PYBB_POLL_MAX_ANSWERS ; <class 'str'> settings ; <class 'str'>,
50,getattr,"settings ; <class 'str'>, PYBB_AUTO_USER_PERMISSIONS ; <class 'str'>, True ; <class 'bool'>",PYBB_AUTO_USER_PERMISSIONS,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, True ; <class 'bool'>  PYBB_AUTO_USER_PERMISSIONS ; <class 'str'> settings ; <class 'str'>,
51,getattr,"settings ; <class 'str'>, PYBB_USE_DJANGO_MAILER ; <class 'str'>, False ; <class 'bool'>",PYBB_USE_DJANGO_MAILER,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, False ; <class 'bool'>  PYBB_USE_DJANGO_MAILER ; <class 'str'> settings ; <class 'str'>,
52,getattr,"settings ; <class 'str'>, PYBB_PERMISSION_HANDLER ; <class 'str'>, pybb.permissions.DefaultPermissionHandler ; <class 'str'>",PYBB_PERMISSION_HANDLER,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, pybb.permissions.DefaultPermissionHandler ; <class 'str'>  PYBB_PERMISSION_HANDLER ; <class 'str'> settings ; <class 'str'>,
53,getattr,"settings ; <class 'str'>, PYBB_PROFILE_RELATED_NAME ; <class 'str'>, pybb_profile ; <class 'str'>",PYBB_PROFILE_RELATED_NAME,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, pybb_profile ; <class 'str'>  PYBB_PROFILE_RELATED_NAME ; <class 'str'> settings ; <class 'str'>,
54,getattr,"settings ; <class 'str'>, PYBB_INITIAL_CUSTOM_USER_MIGRATION ; <class 'str'>, None ; <class 'NoneType'>",PYBB_INITIAL_CUSTOM_USER_MIGRATION,D:\Testing\hovel\pybbm\pybb\defaults.py,getattr,3, None ; <class 'NoneType'>  PYBB_INITIAL_CUSTOM_USER_MIGRATION ; <class 'str'> settings ; <class 'str'>,
55,patterns," ; <class 'str'>, , ",urlpatterns,D:\Testing\hovel\pybbm\pybb\urls.py,patterns,3, ; <class 'str'>,
56,"admin,site,register","Question ; <class 'str'>, QuestionAdmin ; <class 'str'>",,D:\Testing\howiworkdaily\django-faq\faq\admin.py,register,2, QuestionAdmin ; <class 'str'> Question ; <class 'str'>,admin
57,"admin,site,register","Topic ; <class 'str'>, TopicAdmin ; <class 'str'>",,D:\Testing\howiworkdaily\django-faq\faq\admin.py,register,2, TopicAdmin ; <class 'str'> Topic ; <class 'str'>,admin
58,patterns," ; <class 'str'>, , , , , ",urlpatterns,D:\Testing\howiworkdaily\django-faq\faq\urls.py,patterns,6, ; <class 'str'>,
60,random_node_list,"10 ;<class 'int'>, 100 ;<class 'int'>, 0.5 ;<class 'float'>",big_key_list,D:\Testing\hoytak\treedict\tests\test_iterators_lists.py,random_node_list,3, 0.5 ;<class 'float'>  100 ;<class 'int'> 10 ;<class 'int'>,
61,namedtuple,"LatLon ; <class 'str'>, List_value ; List",LatLon,D:\Testing\hozn\stravalib\stravalib\attributes.py,namedtuple,2, List_value ; List LatLon ; <class 'str'>,
63,getattr,"hosencrypt ; <class 'str'>, encryption_class ; <class 'str'>",hosencrypt_class,D:\Testing\hpe-helion-os\helion-ansible\hp_cinder_ansible\filter_plugins\hos_user_password_decrypt.py,getattr,2, encryption_class ; <class 'str'> hosencrypt ; <class 'str'>,
69,"shutil,copyfile","Driver/hlm-cp ; <class 'str'>, cp_dest ; <class 'str'>",,D:\Testing\hpe-helion-os\helion-configuration-processor\Scripts\install.py,copyfile,2, cp_dest ; <class 'str'> Driver/hlm-cp ; <class 'str'>,shutil
70,"os,chmod","cp_dest ; <class 'str'>, ",,D:\Testing\hpe-helion-os\helion-configuration-processor\Scripts\install.py,chmod,2,cp_dest ; <class 'str'>,os
76,add_introspection_rules,"List_value ; List, ",,D:\Testing\HubSpot\sanetime\sanetime\dj.py,add_introspection_rules,2,List_value ; List,
77,add_introspection_rules,"List_value ; List, List_value ; List",,D:\Testing\HubSpot\sanetime\sanetime\dj.py,add_introspection_rules,2, List_value ; List List_value ; List,
83,namedtuple,"Spectralmetadata ; <class 'str'>, ",MetaData,D:\Testing\hugadams\scikit-spectra\skspec\IO\specrecord.py,namedtuple,2,Spectralmetadata ; <class 'str'>,
84,Blueprint,"plumbing ; <class 'str'>, __name__ ; <class 'str'>",plumbing,D:\Testing\hulu\restfulgit\restfulgit\plumbing\routes.py,Blueprint,2, __name__ ; <class 'str'> plumbing ; <class 'str'>,
85,register_converter,"plumbing ; <class 'str'>, ",,D:\Testing\hulu\restfulgit\restfulgit\plumbing\routes.py,register_converter,2,plumbing ; <class 'str'>,
86,register_converter,"plumbing ; <class 'str'>, sha ; <class 'str'>, ",,D:\Testing\hulu\restfulgit\restfulgit\plumbing\routes.py,register_converter,3, sha ; <class 'str'> plumbing ; <class 'str'>,
87,register_converter,"plumbing ; <class 'str'>, sha ; <class 'str'>, SHAConverter ; <class 'str'>",,D:\Testing\hulu\restfulgit\restfulgit\plumbing\routes.py,register_converter,3, SHAConverter ; <class 'str'>  sha ; <class 'str'> plumbing ; <class 'str'>,
88,register_general_error_handler,"plumbing ; <class 'str'>, ",,D:\Testing\hulu\restfulgit\restfulgit\plumbing\routes.py,register_general_error_handler,2,plumbing ; <class 'str'>,
89,register_general_error_handler,"plumbing ; <class 'str'>, json_error_page ; <class 'str'>",,D:\Testing\hulu\restfulgit\restfulgit\plumbing\routes.py,register_general_error_handler,2, json_error_page ; <class 'str'> plumbing ; <class 'str'>,
92,patterns,"openpds.accesscontrol.views ; <class 'str'>, List_value ; List, List_value ; List, List_value ; List, List_value ; List",urlpatterns,D:\Testing\HumanDynamics\openPDS\openpds\accesscontrol\urls.py,patterns,5, List_value ; List  List_value ; List  List_value ; List  List_value ; List openpds.accesscontrol.views ; <class 'str'>,
93,"register,tag","straight_include ; <class 'str'>, do_straight_include ; <class 'str'>",,D:\Testing\HumanDynamics\openPDS\openpds\core\templatetags\straight_include.py,tag,2, do_straight_include ; <class 'str'> straight_include ; <class 'str'>,register
94,patterns,"openpds.meetup.views ; <class 'str'>, List_value ; List, List_value ; List, List_value ; List, List_value ; List",urlpatterns,D:\Testing\HumanDynamics\openPDS\openpds\meetup\urls.py,patterns,5, List_value ; List  List_value ; List  List_value ; List  List_value ; List openpds.meetup.views ; <class 'str'>,
102,print,"""_time"",""_raw"",""index"",""type"" ; <class 'str'>",,D:\Testing\hvandenb\splunk-elasticsearch\search-elasticsearch\bin\search.py,print,4,"""type"" ; <class 'str'> ""index"" ""_raw"" ""_time""",
110,"executer,run","<ast.Name object at 0x000002B01990F8E0> ; <class 'ast.Name'>, <ast.Attribute object at 0x000002B01990F460> ; <class 'ast.Attribute'>",,D:\Testing\hww712\knitter\example\run.py,run,2, <ast.Attribute object at 0x000002B01990F460> ; <class 'ast.Attribute'> <ast.Name object at 0x000002B01990F8E0> ; <class 'ast.Name'>,executer
111,"executer,run","<ast.Name object at 0x000002B01990F880> ; <class 'ast.Name'>, <ast.Attribute object at 0x000002B01990FC70> ; <class 'ast.Attribute'>",,D:\Testing\hww712\knitter\example\run.py,run,2, <ast.Attribute object at 0x000002B01990FC70> ; <class 'ast.Attribute'> <ast.Name object at 0x000002B01990F880> ; <class 'ast.Name'>,executer
112,"executer,run","<ast.Name object at 0x000002B01990F670> ; <class 'ast.Name'>, <ast.Name object at 0x000002B01990F5B0> ; <class 'ast.Name'>",,D:\Testing\hww712\knitter\example\run.py,run,2, <ast.Name object at 0x000002B01990F5B0> ; <class 'ast.Name'> <ast.Name object at 0x000002B01990F670> ; <class 'ast.Name'>,executer
125,"admin,site,register","Application ; <class 'str'>, ApplicationAdmin ; <class 'str'>",,D:\Testing\hydroshare\hydroshare2\ga_applications\admin.py,register,2, ApplicationAdmin ; <class 'str'> Application ; <class 'str'>,admin
126,patterns," ; <class 'str'>, ",urlpatterns,D:\Testing\hydroshare\hydroshare2\ga_interactive\urls.py,patterns,2, ; <class 'str'>,
139,patterns," ; <class 'str'>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",urlpatterns,D:\Testing\hydroshare\hydroshare2\ga_resources\urls.py,patterns,34, ; <class 'str'>,
141,"os,environ,setdefault","DJANGO_SETTINGS_MODULE ; <class 'str'>, hydroshare.settings ; <class 'str'>",,D:\Testing\hydroshare\hydroshare2\hydroshare\celery.py,setdefault,2, hydroshare.settings ; <class 'str'> DJANGO_SETTINGS_MODULE ; <class 'str'>,os
142,"os,environ,setdefault","PYTHONPATH ; <class 'str'>, /home/docker/hydroshare/hydroshare ; <class 'str'>",,D:\Testing\hydroshare\hydroshare2\hydroshare\celery.py,setdefault,2, /home/docker/hydroshare/hydroshare ; <class 'str'> PYTHONPATH ; <class 'str'>,os
153,"sqlite3,register_adapter","Booru ; <class 'str'>, <ast.Name object at 0x000002B019916910> ; <class 'ast.Name'>",,D:\Testing\hydrusnetwork\hydrus\include\ClientData.py,register_adapter,2, <ast.Name object at 0x000002B019916910> ; <class 'ast.Name'> Booru ; <class 'str'>,sqlite3
154,"sqlite3,register_adapter","Imageboard ; <class 'str'>, <ast.Name object at 0x000002B019B973A0> ; <class 'ast.Name'>",,D:\Testing\hydrusnetwork\hydrus\include\ClientData.py,register_adapter,2, <ast.Name object at 0x000002B019B973A0> ; <class 'ast.Name'> Imageboard ; <class 'str'>,sqlite3
155,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\hylang\hy\eg\appengine\appengine_config.py,insert,2,0 ; <class 'int'>,sys
156,import_file_to_module,"__hymain__ ; <class 'str'>, main.hy ; <class 'str'>",__hymain__,D:\Testing\hylang\hy\eg\appengine\main.py,import_file_to_module,2, main.hy ; <class 'str'> __hymain__ ; <class 'str'>,
161,"ax,loglog","<ast.Name object at 0x000002B01988A790> ; <class 'ast.Name'>, ",,D:\Testing\hyperion-rt\hyperion\docs\tutorials\scripts\class1_example_plot.py,loglog,2,<ast.Name object at 0x000002B01988A790> ; <class 'ast.Name'>,ax
162,"ax,set_xlim","0.03 ; <class 'float'>, 2000.0 ; <class 'float'>",,D:\Testing\hyperion-rt\hyperion\docs\tutorials\scripts\class1_example_plot.py,set_xlim,2, 2000.0 ; <class 'float'> 0.03 ; <class 'float'>,ax
163,"ax,set_ylim","2e-15 ; <class 'float'>, 1e-08 ; <class 'float'>",,D:\Testing\hyperion-rt\hyperion\docs\tutorials\scripts\class1_example_plot.py,set_ylim,2, 1e-08 ; <class 'float'> 2e-15 ; <class 'float'>,ax
170,"ax,set_xlim","0.1 ; <class 'float'>, 2000.0 ; <class 'float'>",,D:\Testing\hyperion-rt\hyperion\docs\tutorials\scripts\class2_sed_plot_incl.py,set_xlim,2, 2000.0 ; <class 'float'> 0.1 ; <class 'float'>,ax
171,"ax,set_ylim","2e-16 ; <class 'float'>, 2e-09 ; <class 'float'>",,D:\Testing\hyperion-rt\hyperion\docs\tutorials\scripts\class2_sed_plot_incl.py,set_ylim,2, 2e-09 ; <class 'float'> 2e-16 ; <class 'float'>,ax
174,"np,savetxt","sed.txt ; <class 'str'>, ",,D:\Testing\hyperion-rt\hyperion\docs\tutorials\scripts\class2_sed_write.py,savetxt,2,sed.txt ; <class 'str'>,np
179,"fits,writeto","simple_cube.fits ; <class 'str'>, ",,D:\Testing\hyperion-rt\hyperion\docs\tutorials\scripts\simple_cube_write.py,writeto,2,simple_cube.fits ; <class 'str'>,fits
180,"fits,writeto","simple_cube_slice.fits ; <class 'str'>, <ast.Attribute object at 0x000002B0198035E0> ; <class 'ast.Attribute'>",,D:\Testing\hyperion-rt\hyperion\docs\tutorials\scripts\simple_cube_write.py,writeto,2, <ast.Attribute object at 0x000002B0198035E0> ; <class 'ast.Attribute'> simple_cube_slice.fits ; <class 'str'>,fits
183,"fits,writeto","simple_cube_slice_wcs.fits ; <class 'str'>, <ast.Attribute object at 0x000002B019783D90> ; <class 'ast.Attribute'>",,D:\Testing\hyperion-rt\hyperion\docs\tutorials\scripts\simple_cube_write_wcs.py,writeto,2, <ast.Attribute object at 0x000002B019783D90> ; <class 'ast.Attribute'> simple_cube_slice_wcs.fits ; <class 'str'>,fits
187,"shutil,move","src/dist/ ; <class 'str'>, ",,D:\Testing\Hyphen-ated\RebirthItemTracker\release.py,move,2,src/dist/ ; <class 'str'>,shutil
188,"shutil,copytree","collectibles/ ; <class 'str'>, ",,D:\Testing\Hyphen-ated\RebirthItemTracker\release.py,copytree,2,collectibles/ ; <class 'str'>,shutil
189,"shutil,copytree","overlay text reference/ ; <class 'str'>, ",,D:\Testing\Hyphen-ated\RebirthItemTracker\release.py,copytree,2,overlay text reference/ ; <class 'str'>,shutil
190,"shutil,copy","shortcut_for_install_dir.lnk ; <class 'str'>, ",,D:\Testing\Hyphen-ated\RebirthItemTracker\release.py,copy,2,shortcut_for_install_dir.lnk ; <class 'str'>,shutil
191,"shutil,copy","options_default.json ; <class 'str'>, ",,D:\Testing\Hyphen-ated\RebirthItemTracker\release.py,copy,2,options_default.json ; <class 'str'>,shutil
192,"shutil,copy","items.json ; <class 'str'>, installDir ; <class 'str'>",,D:\Testing\Hyphen-ated\RebirthItemTracker\release.py,copy,2, installDir ; <class 'str'> items.json ; <class 'str'>,shutil
193,"shutil,copy","LICENSE.txt ; <class 'str'>, installDir ; <class 'str'>",,D:\Testing\Hyphen-ated\RebirthItemTracker\release.py,copy,2, installDir ; <class 'str'> LICENSE.txt ; <class 'str'>,shutil
194,"shutil,copy","README.md ; <class 'str'>, ",,D:\Testing\Hyphen-ated\RebirthItemTracker\release.py,copy,2,README.md ; <class 'str'>,shutil
195,"shutil,copy","version.txt ; <class 'str'>, installDir ; <class 'str'>",,D:\Testing\Hyphen-ated\RebirthItemTracker\release.py,copy,2, installDir ; <class 'str'> version.txt ; <class 'str'>,shutil
196,"shutil,make_archive",", zip ; <class 'str'>, target ; <class 'str'>, ",,D:\Testing\Hyphen-ated\RebirthItemTracker\release.py,make_archive,4, target ; <class 'str'>  zip ; <class 'str'> ,shutil
201,namedtuple,"FakeEvent ; <class 'str'>, List_value ; List",FakeEvent,D:\Testing\hypothesis\h\h\nipsa\test\subscribers_test.py,namedtuple,2, List_value ; List FakeEvent ; <class 'str'>,
202,namedtuple,"FakeMessage ; <class 'str'>, List_value ; List",FakeMessage,D:\Testing\hypothesis\h\h\streamer\test\websocket_test.py,namedtuple,2, List_value ; List FakeMessage ; <class 'str'>,
203,namedtuple,"Message ; <class 'str'>, List_value ; List",Message,D:\Testing\hypothesis\h\h\streamer\messages.py,namedtuple,2, List_value ; List Message ; <class 'str'>,
